# file...... csv_output/Transformer_VA_Power.csv
# date...... Tue Jun 19 17:30:07 2018
# user...... Kapil.Duwadi
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A
2014-06-22 00:00:00 PST,+23528.6+0.129119d
2014-06-22 00:01:00 PST,+23528.6+0.129119d
2014-06-22 00:02:00 PST,+25414.2+0.139219d
2014-06-22 00:03:00 PST,+24673.6+0.13377d
2014-06-22 00:04:00 PST,+22921+0.122076d
2014-06-22 00:05:00 PST,+22395.2+0.116917d
2014-06-22 00:06:00 PST,+22947.5+0.128483d
2014-06-22 00:07:00 PST,+22322.3+0.122752d
2014-06-22 00:08:00 PST,+22261.1+0.125918d
2014-06-22 00:09:00 PST,+23775.2+0.135175d
2014-06-22 00:10:00 PST,+22747.5+0.131785d
2014-06-22 00:11:00 PST,+22543.5+0.133341d
2014-06-22 00:12:00 PST,+23258.2+0.127813d
2014-06-22 00:13:00 PST,+23198.7+0.126632d
2014-06-22 00:14:00 PST,+23736.2+0.127487d
2014-06-22 00:15:00 PST,+23561.9+0.127195d
2014-06-22 00:16:00 PST,+23024.4+0.126475d
2014-06-22 00:17:00 PST,+21881.3+0.119878d
2014-06-22 00:18:00 PST,+23282.8+0.134391d
2014-06-22 00:19:00 PST,+23778+0.12713d
2014-06-22 00:20:00 PST,+23778+0.12713d
2014-06-22 00:21:00 PST,+23344.8+0.126646d
2014-06-22 00:22:00 PST,+24270.9+0.135463d
2014-06-22 00:23:00 PST,+23717.4+0.129518d
2014-06-22 00:24:00 PST,+22912+0.129519d
2014-06-22 00:25:00 PST,+22530.8+0.133934d
2014-06-22 00:26:00 PST,+22040.4+0.127885d
2014-06-22 00:27:00 PST,+22662.6+0.133476d
2014-06-22 00:28:00 PST,+22027.4+0.135349d
2014-06-22 00:29:00 PST,+21686.8+0.131203d
2014-06-22 00:30:00 PST,+21105.1+0.127782d
2014-06-22 00:31:00 PST,+19746.2+0.11731d
2014-06-22 00:32:00 PST,+19250.3+0.108541d
2014-06-22 00:33:00 PST,+20454.2+0.122703d
2014-06-22 00:34:00 PST,+17989.2+0.0981377d
2014-06-22 00:35:00 PST,+18492+0.103653d
2014-06-22 00:36:00 PST,+18802.6+0.106615d
2014-06-22 00:37:00 PST,+18690.7+0.111558d
2014-06-22 00:38:00 PST,+18640.5+0.116283d
2014-06-22 00:39:00 PST,+18099.3+0.113242d
2014-06-22 00:40:00 PST,+19468+0.129199d
2014-06-22 00:41:00 PST,+18536.1+0.119526d
2014-06-22 00:42:00 PST,+17829.1+0.119062d
2014-06-22 00:43:00 PST,+18032.2+0.120996d
2014-06-22 00:44:00 PST,+18231.9+0.112074d
2014-06-22 00:45:00 PST,+17921.7+0.109396d
2014-06-22 00:46:00 PST,+17496.5+0.0970793d
2014-06-22 00:47:00 PST,+17496.5+0.0970793d
2014-06-22 00:48:00 PST,+18292.1+0.102514d
2014-06-22 00:49:00 PST,+19927.8+0.117361d
