# file...... csv_output/Transformer_Watt_Var_Power_sec.csv
# date...... Sun Jun 17 20:09:04 2018
# user...... kapil
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A.real,measured_power_A.imag
2014-06-22 00:00:00 PST,+23528.5,+53.0228
2014-06-22 00:01:00 PST,+23528.5,+53.0228
2014-06-22 00:02:00 PST,+25414.1,+61.7523
2014-06-22 00:03:00 PST,+24673.5,+57.606
2014-06-22 00:04:00 PST,+22920.9,+48.836
2014-06-22 00:05:00 PST,+22395.1,+45.6992
2014-06-22 00:06:00 PST,+22947.5,+51.4589
2014-06-22 00:07:00 PST,+22322.3,+47.8241
2014-06-22 00:08:00 PST,+22261,+48.923
2014-06-22 00:09:00 PST,+23775.2,+56.0915
2014-06-22 00:10:00 PST,+22747.5,+52.3213
2014-06-22 00:11:00 PST,+22543.5,+52.4642
2014-06-22 00:12:00 PST,+23258.2,+51.8835
2014-06-22 00:13:00 PST,+23198.6,+51.2723
2014-06-22 00:14:00 PST,+23736.2,+52.8146
2014-06-22 00:15:00 PST,+23561.9,+52.3069
2014-06-22 00:16:00 PST,+23024.3,+50.8239
2014-06-22 00:17:00 PST,+21881.3,+45.7815
2014-06-22 00:18:00 PST,+23282.7,+54.6114
2014-06-22 00:19:00 PST,+23778,+52.7596
2014-06-22 00:20:00 PST,+23778,+52.7596
2014-06-22 00:21:00 PST,+23344.7,+51.6009
2014-06-22 00:22:00 PST,+24270.8,+57.3831
2014-06-22 00:23:00 PST,+23717.3,+53.6137
2014-06-22 00:24:00 PST,+22911.9,+51.7931
2014-06-22 00:25:00 PST,+22530.7,+52.6675
2014-06-22 00:26:00 PST,+22040.4,+49.1947
2014-06-22 00:27:00 PST,+22662.5,+52.7948
2014-06-22 00:28:00 PST,+22027.3,+52.0349
2014-06-22 00:29:00 PST,+21686.7,+49.661
2014-06-22 00:30:00 PST,+21105,+47.0687
2014-06-22 00:31:00 PST,+19746.2,+40.4293
2014-06-22 00:32:00 PST,+19250.3,+36.4676
2014-06-22 00:33:00 PST,+20454.2,+43.8043
2014-06-22 00:34:00 PST,+17989.2,+30.8123
2014-06-22 00:35:00 PST,+18492,+33.4536
2014-06-22 00:36:00 PST,+18802.6,+34.9875
2014-06-22 00:37:00 PST,+18690.7,+36.3918
2014-06-22 00:38:00 PST,+18640.5,+37.8314
2014-06-22 00:39:00 PST,+18099.2,+35.772
2014-06-22 00:40:00 PST,+19468,+43.8993
